Tot_ID,Loc,Date,Mo,QTR,I D,Sex,Age,Mass,FA,MFA,BCS,PregY,LactY,PupY,SeroPos,LUM,PCRPos,CHIP,CHIPY
1,FA,1-Jul-07,7,3,1_01,F,J,316,145,2.18,G,NA,NA,NA,N,96,0,NA,0
2,FA,1-Jul-07,7,3,1_02,M,J,312,155,2.01,G,NA,NA,NA,N,464,0,NA,0
3,FA,1-Jul-07,7,3,1_03,M,A,812,183,4.44,G,NA,NA,NA,Y,13035,0,NA,0
4,FA,1-Jul-07,7,3,1_04,F,A,600,170,3.53,G,N,Y,N,Y,22602,0,NA,0
5,FA,1-Jul-07,7,3,1_05,M,A,824,180,4.58,G,NA,NA,NA,Y,1948,0,NA,0
6,FA,1-Jul-07,7,3,1_06,M,A,706,175,4.03,G,NA,NA,NA,N,117,0,NA,0
7,FA,1-Jul-07,7,3,1_07,M,A,728,170,4.28,F,NA,NA,NA,Y,2167,0,NA,0
8,FA,1-Jul-07,7,3,1_08,M,A,764,164,4.66,G,NA,NA,NA,Y,2187,0,NA,0
9,FA,1-Jul-07,7,3,1_09,M,J,208,135,1.54,G,NA,NA,NA,N,162,0,NA,0
10,FA,1-Jul-07,7,3,1_10,M,A,808,178,4.54,G,NA,NA,NA,Y,28709,0,NA,0
11,FA,1-Jul-07,7,3,1_11,M,A,812,170,4.78,G,NA,NA,NA,Y,28671,0,NA,0
12,FA,1-Jul-07,7,3,1_12,M,J,322,145,2.22,G,NA,NA,NA,N,91,0,NA,0
13,FA,1-Jul-07,7,3,1_13,M,A,792,165,4.8,G,NA,NA,NA,Y,10610,0,NA,0
14,FA,1-Jul-07,7,3,1_14,M,A,904,181,4.99,G,NA,NA,NA,Y,15996,0,NA,0
15,FA,1-Jul-07,7,3,1_15,M,A,712,170,4.19,G,NA,NA,NA,Y,27772,0,NA,0
16,FA,1-Jul-07,7,3,1_16,M,A,910,173,5.26,G,NA,NA,NA,Y,19809,0,NA,0
17,FA,1-Jul-07,7,3,1_17,M,A,850,174,4.89,G,NA,NA,NA,N,97,0,NA,0
18,FA,1-Jul-07,7,3,1_18,M,J,382,152,2.51,G,NA,NA,NA,Y,1661,0,NA,0
19,FA,1-Jul-07,7,3,1_19,M,A,926,182,5.09,G,NA,NA,NA,Y,13925,0,NA,0
20,FA,1-Jul-07,7,3,1_20,F,A,572,170,3.36,G,N,Y,N,N,260,0,NA,0
21,FA,1-Jul-07,7,3,1_21,M,J,436,150,2.91,F,NA,NA,NA,Y,14050,0,NA,0
22,FA,1-Jul-07,7,3,1_22,M,A,718,165,4.35,G,NA,NA,NA,N,208,0,NA,0
23,FA,1-Jul-07,7,3,1_23,M,A,890,180,4.94,G,NA,NA,NA,Y,9013,0,NA,0
24,FA,1-Jul-07,7,3,1_24,M,J,246,140,1.76,G,NA,NA,NA,N,319,0,NA,0
25,FA,1-Jul-07,7,3,1_25,M,J,194,130,1.49,G,NA,NA,NA,Y,13918,0,NA,0
26,FA,1-Jul-07,7,3,1_26,F,A,620,155,4,G,NA,NA,N,Y,26565,0,NA,0
27,FA,1-Jul-07,7,3,1_27,M,A,740,177,4.18,G,NA,NA,NA,Y,17205,0,NA,0
28,FA,1-Jul-07,7,3,1_28,F,J,304,147,2.07,G,NA,NA,N,N,94,0,NA,0
29,FA,1-Jul-07,7,3,1_29,M,A,764,172,4.44,G,NA,NA,NA,Y,22747,0,NA,0
30,FA,1-Jul-07,7,3,1_30,M,A,934,170,5.49,F,NA,NA,NA,N,102,0,NA,0
31,FA,1-Jul-07,7,3,1_31,F,A,524,170,3.08,F,N,Y,N,Y,28197,0,NA,0
32,FA,1-Jul-07,7,3,1_32,M,A,754,170,4.44,F,NA,NA,NA,Y,1230,0,NA,0
33,FA,1-Jul-07,7,3,1_33,M,J,294,139,2.12,G,NA,NA,NA,Y,9363,0,NA,0
34,FA,1-Jul-07,7,3,1_34,M,A,774,180,4.3,G,NA,NA,NA,Y,3304,0,NA,0
35,FA,1-Jul-07,7,3,1_35,F,J,330,150,2.2,G,NA,NA,N,N,107,0,NA,0
36,FA,1-Jul-07,7,3,1_36,F,J,300,142,2.11,G,NA,NA,NA,Y,5137,0,NA,0
37,FA,1-Jul-07,7,3,1_37,M,J,368,150,2.45,G,NA,NA,NA,N,154,0,NA,0
38,FA,1-Jul-07,7,3,1_38,M,A,736,162,4.54,F,NA,NA,NA,N,323,0,NA,0
39,FA,1-Jul-07,7,3,1_39,M,A,678,170,3.99,F,NA,NA,NA,Y,24481,0,NA,0
40,FA,1-Jul-07,7,3,1_40,M,J,350,158,2.22,G,NA,NA,NA,N,121,0,NA,0
41,FA,1-Jul-07,7,3,1_41,M,A,810,174,4.66,F,NA,NA,NA,N,99,0,NA,0
42,FA,1-Jul-07,7,3,1_42,M,A,914,175,5.22,G,NA,NA,NA,Y,26983,0,NA,0
43,FA,1-Jul-07,7,3,1_43,F,J,328,145,2.26,G,N,NA,N,N,693,0,NA,0
44,FA,1-Jul-07,7,3,1_44,M,J,350,150,2.33,G,NA,NA,NA,N,157,0,NA,0
45,FA,1-Jul-07,7,3,1_45,M,J,392,150,2.61,G,NA,NA,NA,N,817,0,NA,0
46,FA,1-Jul-07,7,3,1_46,M,A,704,172,4.09,G,NA,NA,NA,Y,25335,0,NA,0
47,FA,1-Jul-07,7,3,1_47,F,J,380,146,2.6,G,N,NA,N,N,61,0,NA,0
48,FA,1-Jul-07,7,3,1_48,M,J,812,180,4.51,F,NA,NA,NA,Y,5359,0,NA,0
49,FA,1-Jul-07,7,3,1_49,M,J,846,172,4.92,G,NA,NA,NA,N,968,0,NA,0
50,FA,1-Jul-07,7,3,1_50,M,A,896,170,5.27,G,NA,NA,NA,Y,9548,0,NA,0
51,FA,1-Jul-07,7,3,1_51,F,J,356,150,2.37,G,N,NA,N,N,95,0,NA,0
