Date,Cmonth,Rmonth,Cweek,Rweek,Adult pos,Adult tot,Adult neg,Juv pos,Juv tot,Juv neg,N,Njuv,Nadult,Fjuv,Year,
1/1/2006,1,1,1,1,13,65,52,3,15,12,,,,,2006,
7/1/2007,7,19,26,79,43,57,14,18,44,26,,,,,2007,
12/1/2007,12,24,48,100,48,79,31,5,21,16,,,,,2007,
7/1/2008,7,31,27,131,49,66,17,14,34,20,300,102,198,0.34,2008,
10/1/2008,10,34,40,144,47,57,10,13,43,30,288,124,164,0.430555556,2008,
2/1/2009,2,38,5,162,45,66,21,8,34,26,250,85,165,0.34,2009,
5/1/2009,5,41,18,174,39,82,43,7,19,12,233,44,189,0.188841202,2009,
8/1/2009,8,44,31,187,54,72,18,11,28,17,314,88,226,0.280254777,2009,
11/1/2009,11,47,44,201,38,50,12,22,50,28,243,121,122,0.497942387,2009,
2/1/2010,2,50,5,214,38,63,25,3,37,34,325,120,205,0.369230769,2010,
6/1/2010,5,53,22,231,36,72,36,4,28,24,325,91,234,0.28,2010,
9/1/2010,9,57,35,244,17,54,37,10,46,36,233,107,126,0.459227468,2010,
1/1/2011,1,61,1,261,31,70,39,0,29,29,267,78,189,0.292134831,2011,
5/1/2011,5,65,18,279,36,68,32,2,15,13,250,45,205,0.18,2011,
8/1/2011,8,68,31,292,33,50,17,21,50,29,200,100,100,0.5,2011,
12/1/2011,12,72,48,309,24,58,34,6,42,36,217,91,126,0.419354839,2011,
4/1/2012,4,76,14,327,37,72,35,7,17,10,183,35,148,0.191256831,2012,
7/1/2012,7,79,27,340,19,39,20,16,60,44,167,101,166.6666667,0.604790419,2012,
1-Nov,11,81,43,353,27,77,50,1,23,22,166.6666667,23,77,0.23,2012,
